7zip 24.09-3
libzip 1.11.3-1
libzmf 0.0.2-17
licenses 20240728-1
linux 6.13.8.arch1-1
linux-api-headers 6.13-1
linux-firmware 20250311.b69d4b74-3
linux-firmware-whence 20250311.b69d4b74-3
linux-headers 6.13.8.arch1-1
lld 19.1.7-1
llvm 19.1.7-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.4-1
lua 5.4.7-1
lua-lpeg 1.1.0-3
lua51-lpeg 1.1.0-3
lua53 5.3.6-3
luajit 2.1.1741730670-1
lvm2 2.03.31-1
lynx 2.9.2-1
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.8-1
m17n-lib 1.8.4-4
m4 1.4.19-3
mailcap 2.1.54-2
maim 5.8.0-3
make 4.4.1-2
man-db 2.13.0-1
marisa 0.2.6-16
mathjax 3.2.2-2
mbedtls2 2.28.9-1
md4c 0.5.2-1
mdadm 4.4-1
mercurial 6.9.4-1
mesa 1:25.0.2-2
mimalloc 2.2.2-1
miniupnpc 2.3.0-1
minizip 1:1.3.1-2
minizip-ng 4.0.8-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mlt 7.30.0-1
mobile-broadband-provider-info 20240407-1
mold 2.37.1-2
mpdecimal 4.0.0-2
mpfr 4.2.2-1
mpg123 1.32.10-1
mpv 1:0.40.0-1
msgpack-c 6.1.0-2
msmtp 1.8.28-1
mtdev 1.1.7-1
mujs 1.3.6-1
mypaint-brushes1 1.3.1-2
nasm 2.16.03-1
ncurses 6.5-3
ndctl 79-1
neomutt 20250113-1
neon 0.34.0-1
neovim 0.11.0-2
netpbm 10.86.44-1
netstandard-targeting-pack 9.0.3.sdk104-1
nettle 3.10.1-1
networkmanager 1.52.0-1
newsboat 2.39-1
nicotine+ 3.3.10-1
ninja 1.12.1-2
node-gyp 11.1.0-3
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
notmuch 0.39-1
notmuch-runtime 0.39-1
noto-fonts-cjk 20240730-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
numactl 2.0.19-1
nzbget 24.8-1
oath-toolkit 2.6.12-1
ocaml 5.3.0-1
ocaml-compiler-libs 5.3.0-1
ocl-icd 2.3.2-2
onetbb 2022.1.0-1
oniguruma 6.9.10-1
opam 2.3.0-4
openal 1.24.2-1
opencc 1.1.8-2
opencolorio 2.4.0-6
opencore-amr 0.1.6-2
openexr 3.3.3-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openmpi 5.0.7-3
openpmix 5.0.7-1
openscenegraph 3.6.5-26
openssh 9.9p2-1
openssl 3.4.1-1
openssl-1.1 1.1.1.w-2
opentabletdriver 0.6.5.1-1
openucx 1.18.0-2
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.41-1
ostree 2025.1-1
otf-crimson 0.800-2
otf-et-book 20151005-1
otf-latinmodern-math 1.959-5
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pahole 1:1.29-1
pam 1.7.0-2
pambase 20230918-2
pandoc-cli 3.1.12.1-23
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
pass 1.7.4-7
pass-otp 1.2.0-3
patch 2.7.6-10
patchutils 0.4.2-3
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.2-1
pdftk 3.3.3-4
perl 5.40.1-2
perl-alien-build 2.84-1
perl-alien-libxml2 0.19-4
perl-autovivification 0.18-11
perl-b-hooks-endofscope 0.28-2
perl-business-isbn 3.011-1
perl-business-isbn-data 20250118.001-1
perl-business-ismn 1.204-2
perl-business-issn 1.008-1
perl-capture-tiny 0.50-2
perl-class-accessor 0.51-4
perl-class-data-inheritable 0.10-1
perl-class-inspector 1.36-8
perl-class-load 0.25-4
perl-class-singleton 1.6-3
perl-clone 0.47-1
perl-data-compare 1.29-4
perl-data-dump 1.25-6
perl-data-optlist 0.114-4
perl-data-uniqid 0.12-13
perl-datetime 1.66-1
perl-datetime-calendar-julian 0.107-4
perl-datetime-format-builder 1:0.83-6
perl-datetime-format-strptime 1.79-4
perl-datetime-locale 1.44-1
perl-datetime-timezone 2.65-1
perl-devel-stacktrace 2.05-2
perl-dist-checkconflicts 0.11-11
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-eval-closure 0.14-11
perl-exception-class 1.45-5
perl-exporter-tiny 1.006002-4
perl-ffi-checklib 0.31-5
perl-file-chdir 0.1011-6
perl-file-find-rule 0.34-12
perl-file-listing 6.16-4
perl-file-sharedir 1.118-6
perl-file-sharedir-install 0.14-4
perl-file-slurp-tiny 0.004-11
perl-file-slurper 0.014-4
perl-file-which 1.27-6
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-io-socket-ssl 2.089-1
perl-io-string 1.08-13
perl-ipc-run3 0.049-2
perl-libwww 6.78-1
perl-lingua-translit 0.29-4
perl-list-allutils 0.19-4
perl-list-moreutils 0.430-6
perl-list-moreutils-xs 0.430-6
perl-list-someutils 0.59-4
perl-list-utilsby 0.12-4
perl-log-log4perl 1.57-4
perl-lwp-mediatypes 6.04-6
perl-lwp-protocol-https 6.14-2
perl-mailtools 2.22-1
perl-math-round 0.08-1
perl-mime-charset 1.013.1-4
perl-module-implementation 0.09-11
perl-module-runtime 0.016-4
perl-mozilla-ca 20250202-1
perl-mro-compat 0.15-4
perl-namespace-autoclean 0.31-1
perl-namespace-clean 0.27-11
perl-net-http 6.23-4
perl-net-ssleay 1.94-2
perl-number-compare 0.03-15
perl-package-deprecationmanager 0.18-4
perl-package-stash 0.40-5
perl-package-stash-xs 0.30-4
perl-params-util 1.102-6
perl-params-validate 1.31-4
perl-params-validationcompiler 0.31-4
perl-parse-recdescent 1.967015-4
perl-path-tiny 0.146-2
perl-perlio-utf8-strict 0.010-4
perl-regexp-common 2024080801-2
perl-role-tiny 2.002004-6
perl-sort-key 1.33-14
perl-specio 0.50-1
perl-sub-exporter 0.991-2
perl-sub-exporter-progressive 0.001013-11
perl-sub-identify 0.14-13
perl-sub-install 0.929-2
perl-test-fatal 0.017-4
perl-text-bibtex 0.91-1
perl-text-csv 2.06-1
perl-text-glob 0.11-12
perl-text-roman 3.5-12
perl-tie-cycle 1.228-2
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-unicode-linebreak 2019.001-8
perl-uri 5.31-1
perl-variable-magic 0.64-2
perl-www-robotrules 6.02-14
perl-xml-libxml 2.0210-2
perl-xml-libxml-simple 1.01-4
perl-xml-libxslt 2.003000-1
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-4
picard 2.13.3-1
picom 12.5-1
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pixman 0.44.2-1
pkgconf 2.4.3-1
plastex 3.0-3
plfit 1.0.1-1
podofo 0.10.3-1
polkit 126-2
polkit-gnome 0.105-11
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
powertop 2.15-2
procps-ng 4.0.5-3
profanity 1:0.15.0-1
protobuf 30.1-1
prrte 3.0.9-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pystring 1.1.4-2
python 3.13.2-1
python-annotated-types 0.7.0-2
python-appdirs 1.4.4-11
python-apsw 3.49.1.0-1
python-argcomplete 3.5.3-1
python-asttokens 3.0.0-1
python-async-timeout 4.0.3-6
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-blinker 1.8.2-2
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-cachecontrol 1:0.14.2-1
python-cairo 1.27.0-2
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-click 8.1.8-1
python-comm 0.2.2-3
python-contourpy 1.3.1-2
python-coverage 7.6.12-1
python-cryptography 44.0.2-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-decorator 5.1.1-5
python-deprecated 1.2.16-1
python-discid 1.2.0-10
python-distro 1.9.0-3
python-dnspython 1:2.7.0-1
python-docstring-to-markdown 0.15-3
python-executing 2.2.0-1
python-fasteners 0.19-4
python-fastjsonschema 2.21.1-1
python-faust-cchardet 2.1.19-3
python-feedparser 6.0.11-3
python-filelock 3.18.0-1
python-flask 3.1.0-2
python-flask-cors 5.0.1-1
python-fonttools 4.56.0-1
python-gobject 3.52.3-3
python-greenlet 3.1.1-2
python-html2text 2024.2.26-2
python-html5-parser 0.4.12-3
python-html5lib 1.1-15
python-httplib2 0.22.0-8
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-igraph 0.11.8-2
python-importlib-metadata 7.2.1-4
python-inflate64 1.0.1-1
python-inflect 7.5.0-1
python-installer 0.7.0-10
python-ipykernel 6.29.5-3
python-ipython-pygments-lexers 1.1.1-1
python-ipywidgets 8.1.5-2
python-itsdangerous 2.1.2-5
python-jaconv 0.4.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jeepney 0.9.0-1
python-jinja 1:3.1.5-1
python-joblib 1.4.2-2
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-jupyter-client 8.6.3-3
python-jupyter-core 5.7.2-3
python-kiwisolver 1.4.5-5
python-lockfile 0.12.2-14
python-lsp-jsonrpc 1.1.2-5
python-lsp-server 1.12.2-1
python-lxml 5.3.1-1
python-lxml-html-clean 0.2.0-2
python-markdown 3.7-2
python-markupsafe 2.1.5-3
python-matplotlib 3.10.1-1
python-matplotlib-inline 0.1.7-2
python-mechanize 1:0.4.10-2
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-mutagen 1.47.0-3
python-narwhals 1.31.0-1
python-nest-asyncio 1.6.0-4
python-netifaces 0.11.0-7
python-numpy 2.2.4-1
python-ordered-set 4.1.0-7
python-orjson 3.10.16-1
python-packaging 24.2-3
python-parso 1:0.8.4-3
python-pdftotext 2.2.2-9
python-pexpect 4.9.0-4
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-pipx 1.7.1-2
python-platformdirs 4.3.6-2
python-plotly 6.0.1-1
python-pluggy 1.5.0-3
python-ply 3.11-14
python-pooch 1.8.2-4
python-prompt_toolkit 3.0.50-1
python-protobuf 30.1-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-py7zr 0.22.0-4
python-pybcj 1.0.3-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.21.0-3
python-pycryptodomex 3.22.0-1
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pygments 2.19.1-1
python-pyjwt 2.10.1-1
python-pykakasi 2.3.0-2
python-pynvim 0.5.2-1
python-pyparsing 3.2.1-1
python-pyppmd 1.1.1-1
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt6 6.8.1-2
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pyrsistent 0.19.3-4
python-pyserial 3.5-7
python-pysocks 1.7.1-10
python-pyzmq 26.2.0-1
python-pyzstd 0.16.2-2
python-referencing 0.35.1-3
python-regex 2024.11.6-2
python-requests 2.32.3-4
python-rpds-py 0.22.3-1
python-scikit-learn 1.6.1-1
python-scipy 1.15.2-1
python-send2trash 1.8.3-2
python-setuptools 1:75.8.0-1
python-sgmllib3k 1.0.0-7
python-six 1.17.0-1
python-soupsieve 2.6-2
python-stack-data 0.6.3-4
python-tenacity 9.0.0-2
python-texttable 1.7.0-3
python-threadpoolctl 3.5.0-2
python-tomli 2.0.1-5
python-tornado 6.4.2-1
python-traitlets 5.14.3-3
python-trove-classifiers 2025.3.19.19-1
python-typeguard 4.4.2-1
python-typing_extensions 4.12.2-3
python-ujson 5.10.0-2
python-unidecode 1.3.8-4
python-unrardll 0.1.7-4
python-urllib3 2.3.0-1
python-userpath 1.9.2-3
python-validate-pyproject 0.24.1-1
python-waitress 3.0.2-1
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-websockets 12.0-3
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-wrapt 1.16.0-4
python-xxhash 3.5.0-1
python-yaml 6.0.2-2
python-zeroconf 0.146.1-1
python-zipp 3.21.0-2
python-zstandard 0.23.0-2
qemu-base 9.2.2-1
qemu-common 9.2.2-1
qemu-emulators-full 9.2.2-1
qemu-img 9.2.2-1
qemu-system-aarch64 9.2.2-1
qemu-system-alpha 9.2.2-1
qemu-system-alpha-firmware 9.2.2-1
qemu-system-arm 9.2.2-1
qemu-system-arm-firmware 9.2.2-1
qemu-system-avr 9.2.2-1
qemu-system-hppa 9.2.2-1
qemu-system-hppa-firmware 9.2.2-1
qemu-system-loongarch64 9.2.2-1
qemu-system-m68k 9.2.2-1
qemu-system-microblaze 9.2.2-1
qemu-system-microblaze-firmware 9.2.2-1
qemu-system-mips 9.2.2-1
qemu-system-or1k 9.2.2-1
qemu-system-ppc 9.2.2-1
qemu-system-ppc-firmware 9.2.2-1
qemu-system-riscv 9.2.2-1
qemu-system-riscv-firmware 9.2.2-1
qemu-system-rx 9.2.2-1
qemu-system-s390x 9.2.2-1
qemu-system-s390x-firmware 9.2.2-1
qemu-system-sh4 9.2.2-1
qemu-system-sparc 9.2.2-1
qemu-system-sparc-firmware 9.2.2-1
qemu-system-tricore 9.2.2-1
qemu-system-x86 9.2.2-1
qemu-system-x86-firmware 9.2.2-1
qemu-system-xtensa 9.2.2-1
qemu-user 9.2.2-1
qhull 2020.2-5
qpdf 12.0.0-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-doc 5.15.16-3
qt5-location 5.15.16+kde+r7-4
qt5-multimedia 5.15.16+kde+r2-3
qt5-remoteobjects 5.15.16-3
qt5-sensors 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-tools 5.15.16+kde+r3-6
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-6
qt5-webkit 5.212.0alpha4-22
qt5-x11extras 5.15.16-3
qt6-base 6.8.3-1
qt6-declarative 6.8.3-1
qt6-imageformats 6.8.3-1
qt6-multimedia 6.8.3-1
qt6-multimedia-ffmpeg 6.8.3-1
qt6-positioning 6.8.3-1
qt6-speech 6.8.3-1
qt6-svg 6.8.3-1
qt6-translations 6.8.3-1
qt6-wayland 6.8.3-1
qt6-webchannel 6.8.3-1
qt6-webengine 6.8.3-1
quazip-qt5 1.5-1
r 4.4.3-1
racket 8.16-1
ragel 6.10-4
raptor 2.0.16-6
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
redland 1:1.0.17-9
redshift 1.12-14
reflector 2023-3
restic 0.18.0-1
rhash 1.4.4-1
riscv64-linux-gnu-binutils 2.43.1-1
riscv64-linux-gnu-gcc 14.2.0-1
riscv64-linux-gnu-gdb 15.2-1
riscv64-linux-gnu-glibc 2.40-2
riscv64-linux-gnu-linux-api-headers 6.10-1
rnnoise 1:0.2-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
ruby 3.3.7-2
ruby-bundled-gems 3.3.7-2
ruby-bundler 2.6.0-3
ruby-debug 1.9.1-1
ruby-default-gems 3.3.7-2
ruby-erb 4.0.4-6
ruby-irb 1.13.1-2
ruby-matrix 0.4.2-2
ruby-minitest 5.22.3-2
ruby-net-ftp 0.3.5-3
ruby-net-imap 0.4.12-3
ruby-net-pop 0.1.2-3
ruby-net-smtp 0.5.0-3
ruby-power_assert 2.0.4-1
ruby-prime 0.1.2-2
ruby-racc 1.7.3-1
ruby-rake 13.1.0-1
ruby-rbs 3.4.4-3
ruby-rdoc 6.6.3.1-2
ruby-rexml 3.4.1-1
ruby-rss 0.3.1-2
ruby-stdlib 3.3.7-2
ruby-test-unit 3.6.7-1
ruby-typeprof 0.21.9-1
rubygems 3.5.22-3
run-parts 5.17-1
runc 1.2.6-1
rust 1:1.85.1-1
sbc 2.0-2
sbcl 2.5.2-1
scour 0.38.2-5
scribus 1.6.3-4
scrot 1.12-1
sdl2-compat 2.32.52-1
sdl3 3.2.8-1
seabios 1.16.3-1
sed 4.9-3
semver 7.7.1-1
sfsexp 1.4.1-2
shaderc 2025.1-1
shadow 4.17.4-1
shared-mime-info 2.4-1
simdjson 1:3.12.2-1
slang 2.3.3-3
slock 1.5-3
slop 7.6-6
snappy 1.2.2-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-14
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
sqlite 3.49.1-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-1
stfl 0.24-6
sudo 1.9.16.p2-2
suitesparse 7.10.1-1
svt-av1 3.0.2-1
systemd 257.4-1
systemd-libs 257.4-1
systemd-sysvcompat 257.4-1
t1lib 5.1.2-8
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
telegram-desktop 5.13.1-1
terminus-font 4.49.1-7
tesseract 5.5.0-2
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.2-1
texlive-basic 2025.2-1
texlive-bibtexextra 2025.2-1
texlive-bin 2025.2-1
texlive-binextra 2025.2-1
texlive-context 2025.2-1
texlive-fontsextra 2025.2-1
texlive-fontsrecommended 2025.2-1
texlive-fontutils 2025.2-1
texlive-formatsextra 2025.2-1
texlive-games 2025.2-1
texlive-humanities 2025.2-1
texlive-langcyrillic 2025.2-1
texlive-latex 2025.2-1
texlive-latexextra 2025.2-1
texlive-latexrecommended 2025.2-1
texlive-luatex 2025.2-1
texlive-mathscience 2025.2-1
texlive-metapost 2025.2-1
texlive-music 2025.2-1
texlive-pictures 2025.2-1
texlive-plaingeneric 2025.2-1
texlive-pstricks 2025.2-1
texlive-publishers 2025.2-1
texlive-xetex 2025.2-1
thin-provisioning-tools 1.1.0-1
thunar 4.20.2-1
thunar-volman 4.20.0-2
timeshift 24.06.6-1
tinysparql 3.9.1-1
tinyxml 2.6.2-12
tk 8.6.16-1
tlp 1.8.0-1
tmux 3.5_a-1
tpm2-tss 4.1.3-1
transmission-gtk 4.0.6-9
tree 2.2.1-1
tree-sitter 0.25.3-1
tree-sitter-bash 0.23.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-python 0.23.6-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttc-iosevka 32.4.0-1
ttf-bitstream-charter 1.0-5
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-et-book 20151005-1
ttf-fira-code 6.2-2
ttf-font-awesome 6.7.2-1
ttf-ibm-plex 6.4.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.0-2
type1-et-book 20151005-1
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-5
unibilium 2.1.2-1
unzip 6.0-22
upower 1.90.7-1
usbutils 018-1
util-linux 2.41-3
util-linux-libs 2.41-3
v4l-utils 1.28.1-2
valgrind 3.24.0-3
vapoursynth R70-2
vde2 2.3.3-6
vid.stab 1.1.1-2
vim 9.1.1236-1
vim-runtime 9.1.1236-1
virtiofsd 1.13.1-1
vmaf 3.0.0-1
volume_key 0.3.12-10
vsftpd 3.0.5-1
vte-common 0.80.0-1
vte3 0.80.0-1
vulkan-headers 1:1.4.309.0-1
vulkan-icd-loader 1.4.309.0-1
vulkan-intel 1:25.0.2-2
w3m 0.5.3.git20230713_1-1
wasi-compiler-rt 19.1.6-1
wasi-libc 1:0+410+574b88da-2
wasi-libc++ 19.1.6-2
wasi-libc++abi 19.1.6-2
wayland 1.23.1-1
webrtc-audio-processing-0.3 0.3.1-6
webrtc-audio-processing-1 1.3-4
wget 1.25.0-2
which 2.23-1
woff2 1.0.2-5
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapian-core 1:1.4.27-1
xapp 2.8.8-1
xbindkeys 1.8.7-5
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.0-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xf86-input-wacom 1.2.3-1
xf86-video-vesa 2.6.0-2
xfce4-appfinder 4.20.0-2
xfce4-notifyd 0.9.7-1
xfce4-panel 4.20.4-1
xfce4-power-manager 4.20.0-3
xfce4-session 4.20.2-1
xfce4-terminal 1.1.5-1
xfconf 4.20.0-2
xfdesktop 4.20.1-1
xfwm4 4.20.0-2
xfwm4-themes 4.10.0-6
xkeyboard-config 2.44-1
xmlsec 1.3.7-1
xmobar 0.48.1-62
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-server-devel 21.1.16-1
xorg-server-xephyr 21.1.16-1
xorg-server-xnest 21.1.16-1
xorg-server-xvfb 21.1.16-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.6-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xournalpp 1.2.6-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.0-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yarn 1.22.22-2
yasm 1.3.0-7
yay 12.4.2-1
yay-debug 12.4.2-1
yt-dlp 2025.03.27-1
zathura 0.5.11-1
zathura-djvu 0.2.10-4
zathura-pdf-mupdf 0.4.4-13
zenity 4.1.90-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zoom 6.4.0-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.7-2
zxing-cpp 2.3.0-4
zziplib 0.13.78-1
