7zip 24.09-3
gtk3 1:3.24.49-1
gtk4 1:4.18.3-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-3
guile 3.0.10-1
gumbo-parser 0.13.0-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gzip 1.13-4
harfbuzz 11.0.0-1
harfbuzz-icu 11.0.0-1
haskell-adjunctions 4.4.2-118
haskell-aeson 2.1.2.1-71
haskell-aeson-pretty 0.8.10-31
haskell-alsa-core 0.5.0.1-18
haskell-alsa-mixer 0.3.0.1-1
haskell-ansi-terminal 1.0-8
haskell-ansi-terminal-types 0.11.5-25
haskell-ansi-wl-pprint 0.6.9-444
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-243
haskell-asn1-parse 0.9.5-243
haskell-asn1-types 0.3.4-222
haskell-assoc 1.1-6
haskell-async 2.2.5-66
haskell-attoparsec 0.14.4-87
haskell-attoparsec-aeson 2.1.0.0-55
haskell-attoparsec-iso8601 1.1.0.0-63
haskell-auto-update 0.1.6-354
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-107
haskell-base-orphans 0.8.8.2-39
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-93
haskell-base64 0.4.2.4-85
haskell-base64-bytestring 1.2.1.0-117
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-121
haskell-bitvec 1.1.3.0-118
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.2.0-13
haskell-blaze-markup 0.8.3.0-23
haskell-boring 0.2.1-4
haskell-bsb-http-chunked 0.0.0.4-398
haskell-byteorder 1.0.4-25
haskell-cairo 0.13.10.0-17
haskell-call-stack 0.4.0-211
haskell-case-insensitive 1.2.1.0-216
haskell-cassava 0.5.3.2-14
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-141
haskell-clock 0.8.4-30
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-236
haskell-commonmark 0.2.5.1-9
haskell-commonmark-extensions 0.2.5.3-4
haskell-commonmark-pandoc 0.2.2.1-13
haskell-comonad 5.0.8-305
haskell-conduit 1.3.6.1-9
haskell-conduit-extra 1.3.6-165
haskell-constraints 0.13.4-63
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-24
haskell-crypton-connection 0.3.2-24
haskell-crypton-x509 1.7.6-41
haskell-crypton-x509-store 1.6.9-41
haskell-crypton-x509-system 1.6.7-41
haskell-crypton-x509-validation 1.6.12-41
haskell-data-array-byte 0.1.0.1-80
haskell-data-default 0.7.1.1-324
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.1.0.2-1
haskell-data-default-instances-dlist 0.0.1.2-8
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-115
haskell-dbus 1.3.1-52
haskell-dec 0.0.5-6
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-34
haskell-distributive 0.6.2.1-222
haskell-djot 0.1.1.3-11
haskell-dlist 1.0-259
haskell-doclayout 0.4.0.1-43
haskell-doctemplates 0.11-96
haskell-easy-file 0.2.5-34
haskell-emojis 0.1.4-9
haskell-erf 2.0.0.0-25
haskell-extensible-exceptions 0.1.1.4-37
haskell-extra 1.7.16-17
haskell-fast-logger 3.1.2-101
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-121
haskell-free 5.2-8
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glib 0.13.10.0-28
haskell-glob 0.10.2-103
haskell-gridtables 0.1.0.0-62
haskell-haddock-library 1.11.0-49
haskell-hashable 1.4.4.0-45
haskell-hinotify 0.4.1-184
haskell-hourglass 0.2.12-259
haskell-hslua 2.3.0-77
haskell-hslua-aeson 2.3.0.1-59
haskell-hslua-classes 2.3.0-76
haskell-hslua-core 2.3.1-68
haskell-hslua-list 1.1.3-4
haskell-hslua-marshalling 2.3.1-28
haskell-hslua-module-doclayout 1.1.0-87
haskell-hslua-module-path 1.1.0-80
haskell-hslua-module-system 1.1.0.1-50
haskell-hslua-module-text 1.1.0.1-51
haskell-hslua-module-version 1.1.1-19
haskell-hslua-module-zip 1.1.1-47
haskell-hslua-objectorientation 2.3.0-72
haskell-hslua-packaging 2.3.1-37
haskell-hslua-repl 0.1.2-34
haskell-hslua-typing 0.1.1-30
haskell-http 4000.4.1-235
haskell-http-api-data 0.5.1-76
haskell-http-client 0.7.17-18
haskell-http-client-tls 0.3.6.3-87
haskell-http-conduit 2.3.9.1-19
haskell-http-date 0.0.11-149
haskell-http-media 0.8.1.1-27
haskell-http-types 0.12.4-28
haskell-http2 4.1.0-50
haskell-hunit 1.6.2.0-253
haskell-indexed-traversable 0.1.4-34
haskell-indexed-traversable-instances 0.1.2-17
haskell-integer-logarithms 1.0.3.1-7
haskell-invariant 0.6.3-28
haskell-iproute 1.7.14-9
haskell-ipynb 0.2-163
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-35
haskell-juicypixels 3.3.9-1
haskell-kan-extensions 5.2.6-28
haskell-language-server-static 2.8.0.0-1
haskell-lens 5.2.3-69
haskell-lexer 1.1.1-2
haskell-libmpd 0.10.0.1-5
haskell-libyaml 0.1.4-37
haskell-lpeg 1.0.4-40
haskell-lua 2.3.3-12
haskell-memory 0.18.0-21
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-115
haskell-monad-loops 0.4.3-26
haskell-mono-traversable 1.0.21.0-10
haskell-netlink 1.1.1.0-15
haskell-network 3.1.4.0-33
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-44
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-3
haskell-onetuple 0.4.1.1-24
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-56
haskell-ordered-containers 0.2.4-13
haskell-os-string 2.0.7-6
haskell-pandoc 3.1.12.1-21
haskell-pandoc-lua-engine 0.2.1.2-101
haskell-pandoc-lua-marshal 0.2.7-20
haskell-pandoc-server 0.1.0.5-117
haskell-pandoc-types 1.23.1-45
haskell-pango 0.13.11.0-13
haskell-parallel 3.2.2.0-18
haskell-parsec-numbers 0.1.0-19
haskell-pem 0.2.4-299
haskell-pretty-hex 1.1-10
haskell-pretty-show 1.10-16
haskell-prettyprinter 1.7.1-187
haskell-primitive 0.7.4.0-137
haskell-profunctors 5.6.2-195
haskell-psqueues 0.2.8.0-23
haskell-quickcheck 2.14.3-102
haskell-random 1.2.1.2-46
haskell-recv 0.1.0-43
haskell-reflection 2.1.8-12
haskell-regex-base 0.94.0.3-1
haskell-regex-compat 0.95.2.1-8
haskell-regex-posix 0.96.0.1-5
haskell-regex-tdfa 1.3.2.2-60
haskell-resourcet 1.2.6-64
haskell-safe 0.3.21-18
